Signal, Bid (sell price), Ask (buy price), Max Close in 240 Hour(s), Target, Time
1, 1.29919, 1.29961, 1.31136, 0.9044096706409321, 2012.11.29 00:00:00
1, 1.29536, 1.29566, 1.31136, 1.212018280632415, 2012.11.28 00:00:00
1, 1.29344, 1.29374, 1.31136, 1.362258782780816, 2012.11.27 00:00:00
1, 1.29838, 1.2988, 1.31136, 0.96735932469694, 2012.11.26 00:00:00
1, 1.2957, 1.29589, 1.31136, 1.193949216639662, 2012.11.25 00:00:00
1, 1.29729, 1.29772, 1.31136, 1.051422580918692, 2012.11.23 00:00:00
1, 1.28843, 1.28877, 1.30617, 1.350480817739426, 2012.11.22 00:00:00
1, 1.28408, 1.28438, 1.30398, 1.526384648931536, 2012.11.21 00:00:00
1, 1.27508, 1.27538, 1.29919, 1.867333814348912, 2012.11.20 00:00:00
1, 1.28024, 1.28064, 1.29919, 1.448947072423926, 2012.11.19 00:00:00
1, 1.27633, 1.27654, 1.29838, 1.711156205683472, 2012.11.18 00:00:00
1, 1.27418, 1.27448, 1.29838, 1.875716146855235, 2012.11.16 00:00:00
1, 1.27693, 1.27723, 1.29838, 1.656316321176555, 2012.11.15 00:00:00
1, 1.27481, 1.27511, 1.29729, 1.739867117452804, 2012.11.14 00:00:00
1, 1.27194, 1.27224, 1.29729, 1.969432520401907, 2012.11.13 00:00:00
1, 1.2684, 1.2687, 1.28843, 1.555502995900349, 2012.11.12 00:00:00
1, 1.2727, 1.2729, 1.28408, 0.8784473953013254, 2012.11.11 00:00:00
1, 1.27106, 1.27148, 1.28024, 0.6891885512878918, 2012.11.09 00:00:00
0, 1.27762, 1.27804, 1.28024, 0.1721951754042657, 2012.11.08 00:00:00
0, 1.2745, 1.2749, 1.27762, 0.213417026284822, 2012.11.07 00:00:00
0, 1.28586, 1.28616, 1.27762, -0.6641469522343018, 2012.11.06 00:00:00
0, 1.27932, 1.27973, 1.28586, 0.4791608041772167, 2012.11.05 00:00:00
0, 1.28253, 1.28283, 1.28586, 0.2362517835840166, 2012.11.04 00:00:00
0, 1.28333, 1.2839, 1.28586, 0.152727669422515, 2012.11.02 00:00:00
0, 1.29327, 1.29363, 1.28586, -0.6008026166229661, 2012.11.01 00:00:00
0, 1.29656, 1.29686, 1.29327, -0.276886530511506, 2012.10.31 00:00:00
